Combination,myPort,Risk
"('SAPPE', 'UNH', 'VZ', 'SCB', 'AVGO')",[0.    0.    0.    0.571 0.429],2.5726313626765234
"('SAPPE', 'UNH', 'VZ', 'AVGO', 'LH')",[0.    0.    0.578 0.422 0.   ],2.7064595791329236
"('SAPPE', 'UNH', 'VZ', 'AVGO', 'CVX')",[0.    0.    0.578 0.422 0.   ],2.7064595791329236
"('SAPPE', 'UNH', 'VZ', 'AVGO', 'ORI')",[0.    0.    0.578 0.422 0.   ],2.7064595791329236
"('SAPPE', 'UNH', 'VZ', 'AVGO', 'KCE')",[0.    0.    0.578 0.422 0.   ],2.7064595791329236
"('SAPPE', 'UNH', 'VZ', 'AVGO', 'HCA')",[0.    0.    0.578 0.422 0.   ],2.7064595791329236
"('SAPPE', 'UNH', 'VZ', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'VZ', 'AVGO', 'AMZN')",[0.    0.    0.578 0.422 0.   ],2.7064595791329236
"('SAPPE', 'UNH', 'VZ', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'VZ', 'AVGO', 'O')",[0.    0.    0.578 0.422 0.   ],2.7064595791329236
"('SAPPE', 'UNH', 'ENB', 'AVGO', 'LH')",[0.    0.    0.767 0.233 0.   ],2.3386448042566457
"('SAPPE', 'UNH', 'ENB', 'AVGO', 'CVX')",[0.    0.    0.767 0.233 0.   ],2.3386448042566457
"('SAPPE', 'UNH', 'ENB', 'AVGO', 'ORI')",[0.    0.    0.767 0.233 0.   ],2.3386448042566457
"('SAPPE', 'UNH', 'ENB', 'AVGO', 'KCE')",[0.    0.    0.767 0.233 0.   ],2.3386448042566457
"('SAPPE', 'UNH', 'ENB', 'AVGO', 'HCA')",[0.    0.    0.767 0.233 0.   ],2.3386448042566457
"('SAPPE', 'UNH', 'ENB', 'AVGO', 'AMZN')",[0.    0.    0.767 0.233 0.   ],2.3386448042566457
"('SAPPE', 'UNH', 'ENB', 'AVGO', 'O')",[0.    0.    0.767 0.233 0.   ],2.3386448042566457
"('SAPPE', 'UNH', 'PTT', 'UL', 'AVGO')",[0.    0.    0.    0.512 0.488],3.4279703080386392
"('SAPPE', 'UNH', 'PTT', 'KTB', 'AVGO')",[0.098 0.    0.431 0.    0.471],3.768876558198992
"('SAPPE', 'UNH', 'PTT', 'MSFT', 'AVGO')",[0.098 0.    0.431 0.    0.471],3.768876558198992
"('SAPPE', 'UNH', 'PTT', 'TSMC', 'AVGO')",[0.098 0.    0.431 0.    0.471],3.768876558198992
"('SAPPE', 'UNH', 'PTT', 'SCB', 'AVGO')",[0.    0.    0.    0.571 0.429],2.5726313626765234
"('SAPPE', 'UNH', 'PTT', 'Visa', 'AVGO')",[0.098 0.    0.431 0.    0.471],3.768876558198992
"('SAPPE', 'UNH', 'PTT', 'META', 'AVGO')",[0.098 0.    0.431 0.    0.471],3.768876558198992
"('SAPPE', 'UNH', 'PTT', 'BMWG', 'AVGO')",[0.    0.    0.    0.552 0.448],3.162191683861013
"('SAPPE', 'UNH', 'PTT', 'AP', 'AVGO')",[0.    0.    0.    0.566 0.434],3.098681637218548
"('SAPPE', 'UNH', 'PTT', 'ABBV', 'AVGO')",[0.    0.    0.    0.526 0.474],3.6383210926986136
"('SAPPE', 'UNH', 'PTT', 'NVDA', 'AVGO')",[0.098 0.    0.431 0.    0.471],3.7688765581989916
"('SAPPE', 'UNH', 'PTT', 'Cpaxt', 'AVGO')",[0.098 0.    0.431 0.    0.471],3.768876558198992
"('SAPPE', 'UNH', 'PTT', 'APPLE', 'AVGO')",[0.098 0.    0.431 0.    0.471],3.768876558198992
"('SAPPE', 'UNH', 'PTT', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'PTT', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'PTT', 'AVGO', 'CVX')",[0.    0.    0.    0.454 0.546],3.57056055696911
"('SAPPE', 'UNH', 'PTT', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'PTT', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'PTT', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'PTT', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'UL', 'SCB', 'AVGO')",[0.    0.    0.    0.571 0.429],2.5726313626765234
"('SAPPE', 'UNH', 'UL', 'AP', 'AVGO')",[0.    0.    0.    0.566 0.434],3.098681637218548
"('SAPPE', 'UNH', 'UL', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'UL', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'UL', 'AVGO', 'CVX')",[0.    0.    0.512 0.488 0.   ],3.4279703080386392
"('SAPPE', 'UNH', 'UL', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'UL', 'AVGO', 'KCE')",[0.    0.    0.512 0.488 0.   ],3.4279703080386392
"('SAPPE', 'UNH', 'UL', 'AVGO', 'HCA')",[0.    0.    0.512 0.488 0.   ],3.4279703080386392
"('SAPPE', 'UNH', 'UL', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'UL', 'AVGO', 'AMZN')",[0.    0.    0.512 0.488 0.   ],3.4279703080386392
"('SAPPE', 'UNH', 'UL', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'UL', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'KTB', 'SCB', 'AVGO')",[0.    0.    0.    0.571 0.429],2.5726313626765234
"('SAPPE', 'UNH', 'KTB', 'JPM', 'AVGO')",[0.    0.    0.    0.508 0.492],3.772936764305062
"('SAPPE', 'UNH', 'KTB', 'BMWG', 'AVGO')",[0.    0.    0.    0.552 0.448],3.162191683861013
"('SAPPE', 'UNH', 'KTB', 'AP', 'AVGO')",[0.    0.    0.    0.566 0.434],3.098681637218548
"('SAPPE', 'UNH', 'KTB', 'ABBV', 'AVGO')",[0.    0.    0.    0.526 0.474],3.6383210926986136
"('SAPPE', 'UNH', 'KTB', 'AVGO', 'LH')",[0.    0.    0.    0.414 0.586],3.0471999614979155
"('SAPPE', 'UNH', 'KTB', 'AVGO', 'SIRI')",[0.    0.    0.    0.385 0.615],2.6089226570117376
"('SAPPE', 'UNH', 'KTB', 'AVGO', 'CVX')",[0.    0.    0.    0.454 0.546],3.57056055696911
"('SAPPE', 'UNH', 'KTB', 'AVGO', 'PSEC')",[0.    0.    0.    0.245 0.755],2.4079030228128757
"('SAPPE', 'UNH', 'KTB', 'AVGO', 'KCE')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'KTB', 'AVGO', 'HCA')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'KTB', 'AVGO', 'TISCO')",[0.   0.   0.   0.37 0.63],2.418600004798511
"('SAPPE', 'UNH', 'KTB', 'AVGO', 'AMZN')",[0.506 0.    0.    0.494 0.   ],3.8465492185764303
"('SAPPE', 'UNH', 'KTB', 'AVGO', 'ICHI')",[0.   0.   0.   0.47 0.53],2.397199496104468
"('SAPPE', 'UNH', 'KTB', 'AVGO', 'O')",[0.    0.    0.    0.464 0.536],3.2126560226565015
"('SAPPE', 'UNH', 'MSFT', 'SCB', 'AVGO')",[0.    0.    0.    0.571 0.429],2.5726313626765234
"('SAPPE', 'UNH', 'MSFT', 'JPM', 'AVGO')",[0.    0.    0.    0.508 0.492],3.772936764305062
"('SAPPE', 'UNH', 'MSFT', 'BMWG', 'AVGO')",[0.    0.    0.    0.552 0.448],3.162191683861013
"('SAPPE', 'UNH', 'MSFT', 'AP', 'AVGO')",[0.    0.    0.    0.566 0.434],3.098681637218548
