Combination,myPort,Risk
"('VZ', 'ENB', 'Visa', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'UL', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'TSMC', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'TOP', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'SCB', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'SAT', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'PTT', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'NVDA', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'MSFT', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'META', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'KTB', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'KBS', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'JPM', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'Cpaxt', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'BMWG', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'AVGO', 'SIRI', 'TISCO')",[0.    0.486 0.289 0.225 0.   ],2.191749642
"('VZ', 'ENB', 'AVGO', 'SIRI', 'PSEC')",[0.    0.486 0.289 0.225 0.   ],2.191749642
"('VZ', 'ENB', 'AVGO', 'SIRI', 'ORI')",[0.    0.486 0.289 0.225 0.   ],2.191749642
"('VZ', 'ENB', 'AVGO', 'SIRI', 'O')",[0.    0.486 0.289 0.225 0.   ],2.191749642
"('VZ', 'ENB', 'AVGO', 'SIRI', 'KCE')",[0.    0.486 0.289 0.225 0.   ],2.191749642
"('VZ', 'ENB', 'AVGO', 'SIRI', 'ICHI')",[0.    0.486 0.289 0.225 0.   ],2.191749642
"('VZ', 'ENB', 'AVGO', 'SIRI', 'HCA')",[0.    0.486 0.289 0.225 0.   ],2.191749642
"('VZ', 'ENB', 'AVGO', 'SIRI', 'CVX')",[0.    0.486 0.289 0.225 0.   ],2.191749642
"('VZ', 'ENB', 'AVGO', 'SIRI', 'AMZN')",[0.    0.486 0.289 0.225 0.   ],2.191749642
"('VZ', 'ENB', 'APPLE', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
"('VZ', 'ENB', 'AP', 'AVGO', 'SIRI')",[0.    0.486 0.    0.289 0.225],2.191749642
